id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[ARF],current_acc_[ARF],mean_acc_[SAM-KNN],current_acc_[SAM-KNN],model_size_[ARSLVQ],model_size_[ARF],model_size_[SAM-KNN]
200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,784.051758,6292.985352,1038288.095703
399,0.680000,0.680000,0.685000,0.685000,0.805000,0.805000,784.051758,12462.114258,1070339.884766
599,0.690000,0.700000,0.692500,0.700000,0.792500,0.780000,784.051758,17331.368164,1083639.072266
799,0.685000,0.675000,0.686667,0.675000,0.805000,0.830000,784.051758,22926.450195,1102796.474609
999,0.682500,0.675000,0.685000,0.680000,0.805000,0.805000,784.051758,27607.938477,1095384.490234
1199,0.691000,0.725000,0.693000,0.725000,0.816000,0.860000,784.051758,32928.168945,1161830.294922
1399,0.687500,0.670000,0.690000,0.675000,0.826667,0.880000,784.051758,38573.657227,1154806.908203
1599,0.688571,0.695000,0.689286,0.685000,0.825714,0.820000,784.051758,47111.239258,1184121.095703
1799,0.684375,0.655000,0.684375,0.650000,0.821250,0.790000,784.051758,55977.758789,1162648.142578
1999,0.682778,0.670000,0.682222,0.665000,0.820000,0.810000,784.051758,62773.083008,1168922.107422
2199,0.685000,0.705000,0.683500,0.695000,0.821000,0.830000,784.051758,68656.329102,1150571.857422
2399,0.688636,0.725000,0.687273,0.725000,0.819545,0.805000,784.051758,75221.610352,1155669.701172
2599,0.687083,0.670000,0.685833,0.670000,0.818333,0.805000,784.051758,81040.653320,1119729.814453
2799,0.688077,0.700000,0.686923,0.700000,0.817692,0.810000,784.051758,88370.313477,1127171.619141
2999,0.688214,0.690000,0.686429,0.680000,0.816429,0.800000,784.051758,95243.922852,1158449.458984
3199,0.686333,0.660000,0.685000,0.665000,0.814667,0.790000,784.051758,104627.594727,1181123.623047
3399,0.690625,0.755000,0.688750,0.745000,0.817187,0.855000,784.051758,113487.235352,1200290.009766
3599,0.687647,0.640000,0.685588,0.635000,0.818529,0.840000,784.051758,121659.555664,1272207.208984
3799,0.690556,0.740000,0.688056,0.730000,0.818333,0.815000,784.051758,129046.047852,1237435.267578
3999,0.688947,0.660000,0.686579,0.660000,0.816579,0.785000,784.051758,136891.247070,1227293.517578
4199,0.689500,0.700000,0.687250,0.700000,0.817000,0.825000,784.051758,130967.907227,1242934.396484
4399,0.687619,0.650000,0.685476,0.650000,0.815952,0.795000,784.051758,136474.258789,1230067.966797
4599,0.685682,0.645000,0.683636,0.645000,0.816364,0.825000,784.051758,144033.473633,1275026.666016
4799,0.686304,0.700000,0.684130,0.695000,0.818696,0.870000,784.051758,149314.375977,1219164.490234
4999,0.686458,0.690000,0.684375,0.690000,0.818750,0.820000,784.051758,154544.676758,1189090.677734
5199,0.685800,0.670000,0.683800,0.670000,0.819400,0.835000,784.051758,156739.262695,1192232.146484
5399,0.684231,0.645000,0.682308,0.645000,0.820000,0.835000,784.051758,164814.149414,1250883.052734
5599,0.684074,0.680000,0.682222,0.680000,0.822593,0.890000,784.051758,170924.106445,1220407.474609
5799,0.685893,0.735000,0.684107,0.735000,0.824643,0.880000,784.051758,176622.282227,1218463.298828
5999,0.684483,0.645000,0.682586,0.640000,0.824310,0.815000,784.051758,185265.575195,1183308.736328
6199,0.683667,0.660000,0.682167,0.670000,0.822833,0.780000,784.051758,192360.247070,1222420.060547
6399,0.683548,0.680000,0.682097,0.680000,0.824677,0.880000,784.051758,196205.864258,1285745.958984
6599,0.682656,0.655000,0.681250,0.655000,0.824844,0.830000,784.051758,203691.114258,1355321.259766
6799,0.683333,0.705000,0.681970,0.705000,0.826667,0.885000,784.051758,215073.926758,1378758.185547
6999,0.683676,0.695000,0.682206,0.690000,0.827794,0.865000,784.051758,222728.231445,1342452.810547
7199,0.683429,0.675000,0.682000,0.675000,0.828857,0.865000,784.051758,231471.250977,1316286.123047
7399,0.683472,0.685000,0.681944,0.680000,0.828194,0.805000,784.051758,239556.379883,1306140.763672
7599,0.685135,0.745000,0.683378,0.735000,0.827973,0.820000,784.051758,249507.157227,1292081.814453
7799,0.683684,0.630000,0.681842,0.625000,0.826316,0.765000,784.051758,255269.079102,1302675.337891
7999,0.685128,0.740000,0.683333,0.740000,0.827436,0.870000,784.051758,260148.274414,1275720.638672
8199,0.684000,0.640000,0.682250,0.640000,0.826875,0.805000,784.051758,268031.192383,1251898.123047
8399,0.683780,0.675000,0.682073,0.675000,0.826707,0.820000,784.051758,277264.383789,1231200.724609
8599,0.682381,0.625000,0.680714,0.625000,0.826548,0.820000,784.051758,283427.235352,1255448.228516
8799,0.681744,0.655000,0.680116,0.655000,0.826860,0.840000,784.051758,289456.504883,1262904.736328
8999,0.682955,0.735000,0.681364,0.735000,0.827614,0.860000,784.051758,294876.715820,1241035.830078
9199,0.684667,0.760000,0.683111,0.760000,0.828444,0.865000,784.051758,300776.524414,1255507.720703
9399,0.684348,0.670000,0.682826,0.670000,0.829239,0.865000,784.051758,307055.868164,1279350.513672
9599,0.684574,0.695000,0.683085,0.695000,0.827766,0.760000,784.051758,314326.399414,1299690.302734
9799,0.682292,0.575000,0.680729,0.570000,0.826146,0.750000,784.051758,322664.727539,1250499.224609
9999,0.682245,0.680000,0.680612,0.675000,0.826429,0.840000,784.051758,326347.606445,1227845.216797